Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG,position
Jerry Jeudy,CLE,16.0,25.8,0.0,0.0,0.0,0.0,0.0,87.0,54.0,758.0,14.0,2.0,87.8,5.5,wr
Jaxon Smith-Njigba,SEA,17.0,27.9,0.0,0.0,0.0,0.0,0.0,93.0,63.0,628.0,10.0,4.0,86.8,5.1,wr
Hollywood Brown,KC,14.0,54.2,2.0,23.0,0.0,11.5,0.0,101.0,51.0,574.0,11.3,4.0,83.7,6.0,wr
Dontayvion Wicks,GB,15.0,23.1,1.0,1.0,0.0,1.0,0.0,58.0,39.0,581.0,14.9,4.0,80.8,5.4,wr
DJ Chark,LAC,15.0,48.5,0.0,0.0,0.0,0.0,0.0,66.0,35.0,525.0,15.0,5.0,80.5,5.4,wr
Tyler Boyd,TEN,17.0,30.3,2.0,11.0,0.0,5.5,0.0,98.0,67.0,667.0,10.0,2.0,78.8,4.6,wr
Michael Wilson,ARI,13.0,45.1,0.0,0.0,0.0,0.0,0.0,58.0,38.0,565.0,14.9,3.0,76.5,5.9,wr
Jahan Dotson,WAS,17.0,44.9,0.0,0.0,0.0,0.0,0.0,83.0,49.0,518.0,10.6,4.0,75.8,4.5,wr
Khalil Shakir,BUF,17.0,22.2,1.0,10.0,0.0,10.0,0.0,45.0,39.0,611.0,15.7,2.0,74.1,4.4,wr
Tutu Atwell,LA,16.0,38.8,5.0,31.0,0.0,6.2,0.0,67.0,39.0,483.0,12.4,3.0,73.4,4.6,wr
Christian Watson,GB,9.0,38.9,4.0,11.0,0.0,2.8,0.0,53.0,28.0,422.0,15.1,5.0,73.3,8.1,wr
Wan'Dale Robinson,NYG,15.0,33.7,9.0,87.0,0.0,9.7,1.0,78.0,60.0,525.0,8.8,1.0,73.2,4.9,wr
Elijah Moore,CLE,17.0,48.8,9.0,11.0,0.0,1.2,0.0,104.0,59.0,640.0,10.8,2.0,73.1,4.3,wr
Odell Beckham,MIA,14.0,22.5,0.0,0.0,0.0,0.0,0.0,64.0,35.0,565.0,16.1,3.0,72.5,5.2,wr
K.J. Osborn,NE,16.0,35.6,0.0,0.0,0.0,0.0,0.0,75.0,48.0,540.0,11.3,3.0,72.0,4.5,wr
Joshua Palmer,LAC,10.0,31.8,1.0,6.0,0.0,6.0,0.0,61.0,38.0,581.0,15.3,2.0,68.7,6.9,wr
Noah Brown,HOU,10.0,46.3,1.0,-1.0,0.0,-1.0,0.0,55.0,33.0,567.0,17.2,2.0,68.6,6.9,wr
Rondale Moore,ATL,17.0,39.2,28.0,178.0,0.0,6.4,1.0,62.0,40.0,352.0,8.8,1.0,65.0,3.8,wr
Alec Pierce,IND,17.0,60.3,0.0,0.0,0.0,0.0,0.0,65.0,32.0,514.0,16.1,2.0,63.4,3.7,wr
Kendrick Bourne,NE,8.0,46.4,1.0,4.0,0.0,4.0,0.0,55.0,37.0,406.0,11.0,4.0,63.0,7.9,wr
Kalif Raymond,DET,17.0,16.6,7.0,75.0,0.0,10.7,0.0,44.0,35.0,489.0,14.0,1.0,62.4,3.7,wr
Nelson Agholor,BAL,17.0,23.6,0.0,0.0,0.0,0.0,0.0,45.0,35.0,381.0,10.9,4.0,62.1,3.7,wr
Justin Watson,KC,16.0,19.8,0.0,0.0,0.0,0.0,0.0,53.0,27.0,460.0,17.0,3.0,62.0,3.9,wr
Demarcus Robinson,LA,16.0,18.1,1.0,23.0,0.0,23.0,0.0,39.0,26.0,371.0,14.3,4.0,61.4,3.8,wr
DeMario Douglas,NE,14.0,31.3,8.0,41.0,0.0,5.1,0.0,79.0,49.0,561.0,11.4,0.0,58.2,4.2,wr
Nick Westbrook-Ikhine,TEN,14.0,30.5,0.0,0.0,0.0,0.0,0.0,45.0,28.0,370.0,13.2,3.0,57.0,4.1,wr
Trey Palmer,TB,17.0,36.6,3.0,22.0,0.0,7.3,0.0,68.0,39.0,385.0,9.9,3.0,56.7,3.3,wr
Jameson Williams,DET,12.0,26.0,3.0,29.0,0.0,9.7,1.0,42.0,24.0,354.0,14.8,2.0,56.3,4.7,wr
Quentin Johnston,LAC,17.0,22.0,3.0,9.0,0.0,3.0,0.0,67.0,38.0,431.0,11.3,2.0,56.0,3.3,wr
Brandon Johnson,DEN,13.0,14.3,0.0,0.0,0.0,0.0,0.0,30.0,19.0,284.0,14.9,4.0,54.4,4.2,wr
Michael Gallup,LV,17.0,29.0,0.0,0.0,0.0,0.0,0.0,57.0,34.0,418.0,12.3,2.0,53.8,3.2,wr
Tre Tucker,LV,16.0,12.6,10.0,77.0,0.0,7.7,0.0,34.0,19.0,331.0,17.4,2.0,52.8,3.3,wr
Michael Thomas,NO,10.0,49.0,0.0,0.0,0.0,0.0,0.0,64.0,39.0,448.0,11.5,1.0,50.8,5.1,wr
Robert Woods,HOU,14.0,47.6,1.0,7.0,0.0,7.0,0.0,75.0,40.0,426.0,10.7,1.0,49.3,3.5,wr
A.T. Perry,NO,10.0,25.1,0.0,0.0,0.0,0.0,0.0,18.0,12.0,246.0,20.5,4.0,48.6,4.9,wr
Darnell Mooney,ATL,15.0,39.3,2.0,5.0,0.0,2.5,0.0,61.0,31.0,414.0,13.4,1.0,47.9,3.2,wr
KaVontae Turpin,DAL,16.0,6.4,11.0,110.0,0.0,10.0,1.0,18.0,12.0,127.0,10.6,3.0,47.7,3.0,wr
Cedrick Wilson,NO,15.0,19.7,0.0,0.0,0.0,0.0,0.0,38.0,22.0,296.0,13.5,3.0,47.6,3.2,wr
Chris Moore,ARI,17.0,28.1,2.0,39.0,0.0,19.5,0.0,35.0,22.0,424.0,19.3,0.0,46.3,2.7,wr
